,state,act_participation,act_composite_score,sat_participation,sat_reading_writing_score,sat_math_score,sat_total_score
0,Alabama,1.0,18.9,0.07,583,560,1143
11,Hawaii,0.8,19.0,0.54,550,550,1100
12,Idaho,0.31,22.5,1.0,505,488,993
17,Kentucky,1.0,19.8,0.04,620,612,1232
18,Louisiana,1.0,18.8,0.05,610,591,1200
24,Mississippi,1.0,18.4,0.03,628,608,1237
25,Missouri,0.82,20.8,0.04,622,615,1236
26,Montana,1.0,19.8,0.09,603,596,1199
27,Nebraska,1.0,20.0,0.03,628,631,1260
28,Nevada,1.0,17.9,0.2,580,576,1156
33,North Carolina,1.0,19.0,0.51,554,546,1100
34,North Dakota,0.96,19.9,0.02,627,636,1263
35,Ohio,1.0,20.0,0.19,550,548,1097
40,South Carolina,0.78,18.8,0.68,526,504,1030
42,Tennessee,1.0,19.4,0.07,618,602,1220
44,Utah,1.0,20.3,0.04,614,615,1230
49,Wisconsin,1.0,20.3,0.03,635,648,1283
50,Wyoming,1.0,19.8,0.03,623,615,1238
